WIGOS ID,WMO INDEX,ICAO,Name,Country,Latitude,Longitude,Altitude,Established,Closed
0-826-0-25,-----,EGYE,Barkston Heath Royal Air Force Base ,United Kingdom,52-58N,000-34W,112,----,----
0-0-0-MISSING,-----,EGCN,Doncaster Sheffield / Airport,United Kingdom,53-38-39N,001-00-16W,17,----,----
0-0-0-MISSING,03001,----,Muckle Flugga,United Kingdom,60-51N,000-53W,53,----,----
0-20000-0-03002,03002,----,Baltasound,United Kingdom,60-44-53N,000-51-20W,15,1983-01-01,----
0-20000-0-03003,03003,EGPB,Sumburgh Cape ,United Kingdom,59-52-43N,001-17-57W,7,1971-10-01,1997-01-31
0-20000-0-03004,03004,----,Collafirth,United Kingdom,60-31-58N,001-23-29W,228,1971-12-01,1983-07-31
0-20008-0-SIS,03005,----,Lerwick,United Kingdom,60-08-21N,001-11-04W,82,1930-01-01,----
0-20000-0-03006,03006,----,Sella Ness,United Kingdom,60-26-50N,001-16-39W,7,1979-09-01,2019-06-01
0-0-0-MISSING,03007,----,Muckle Holm,United Kingdom,60-35N,001-16W,22,----,----
0-20000-0-03008,03008,----,Fair Isle,United Kingdom,59-31-35N,001-37-38W,57,1974-01-01,----
